front,back,romaji
"ふく (服)","clothes","fuku"
"ようふく (洋服)","western clothes","youfuku"
"わふく / きもの (和服/着物)","Japanese clothes / kimono","wafuku / kimono"
"シャツ","shirt","shatsu"
"ワイシャツ","business shirt","waishatsu"
"ブラウス","blouse","burausu"
"セーター","sweater","seetaa"
"コート","coat","kooto"
"うわぎ (上着)","jacket, outerwear","uwagi"
"したぎ (下着)","underwear","shitagi"
"ズボン / パンツ","pants, trousers","zubon / pantsu"
"スカート","skirt","sukaato"
"ドレス","dress","doresu"
"くつ (靴)","shoes","kutsu"
"くつした (靴下)","socks","kutsushita"
"ぼうし (帽子)","hat, cap","boushi"
"めがね (眼鏡)","glasses","megane"
"ネクタイ","necktie","nekutai"
"てぶくろ (手袋)","gloves","tebukuro"
"マフラー","scarf (winter)","mafuraa"
"ゆびわ (指輪)","ring (finger)","yubiwa"
"とけい / うでどけい (時計/腕時計)","clock / wristwatch","tokei / udedokei"
"ハンカチ","handkerchief","hankachi"
"かばん","bag","kaban"
"ポケット","pocket","poketto"
"きます (着ます)","wear (upper body)","kimasu"
"はきます","wear (lower body/feet)","hakimasu"
"かぶります","wear (on head)","kaburimasu"
"かけます","wear (glasses)","kakemasu"
"します","wear (accessories)","shimasu"
"ぬぎます (脱ぎます)","take off (clothes)","nugimasu"
