front,back,romaji
"います","be, exist (animate)","imasu"
"あります","be, exist, have (inanimate)","arimasu"
"いきます (行きます)","go","ikimasu"
"きます (来ます)","come","kimasu"
"かえります (帰ります)","return, go back","kaerimasu"
"あるきます (歩きます)","walk","arukimasu"
"はしります (走ります)","run","hashirimasu"
"とびます (飛びます)","fly, jump","tobimasu"
"のります (乗ります)","ride, get on","norimasu"
"おります (降ります)","get off","orimasu"
"でかけます (出かけます)","go out","dekakemasu"
"でます (出ます)","leave, exit, attend","demasu"
"はいります (入ります)","enter","hairimasu"
"まがります (曲がります)","turn (corner)","magarimasu"
"わたります (渡ります)","cross","watarimasu"
"とまります (止まります/泊まります)","stop / stay at","tomarimasu"
"のぼります (登ります)","climb, go up","noborimasu"
"あがります (上がります)","go up, rise","agarimasu"
"おきます (起きます)","get up, wake up","okimasu"
"ねます (寝ます)","sleep, go to bed","nemasu"
"はたらきます (働きます)","work","hatarakimasu"
"やすみます (休みます)","rest, take day off","yasumimasu"
"べんきょうします (勉強します)","study","benkyoushimasu"
"おわります (終わります)","end, finish","owarimasu"
"はじまります (始まります)","begin, start (intr.)","hajimarimasu"
"つくります (作ります)","make, create, cook","tsukurimasu"
"あらいます (洗います)","wash","araimasu"
"そうじします (掃除します)","clean","soujishimasu"
"せんたくします (洗濯します)","do laundry","sentakushimasu"
"みがきます (磨きます)","polish, brush (teeth)","migakimasu"
"たべます (食べます)","eat","tabemasu"
"のみます (飲みます)","drink","nomimasu"
"いいます (言います)","say, tell","iimasu"
"はなします (話します)","speak, talk","hanashimasu"
"ききます (聞きます/訊きます)","listen, hear / ask","kikimasu"
"よみます (読みます)","read","yomimasu"
"かきます (書きます)","write, draw","kakimasu"
"しります (知ります)","know","shirimasu"
"わかります (分かります)","understand","wakarimasu"
"おしえます (教えます)","teach, tell, inform","oshiemasu"
"ならいます (習います)","learn (from someone)","naraimasu"
"おぼえます (覚えます)","memorize, remember","oboemasu"
"わすれます (忘れます)","forget","wasuremasu"
"しつもんします (質問します)","ask a question","shitsumon shimasu"
"こたえます (答えます)","answer, reply","kotaemasu"
"よびます (呼びます)","call, invite","yobimasu"
"でんわします (電話します)","make phone call","denwa shimasu"
"みます (見ます)","see, watch, look","mimasu"
"みせます (見せます)","show","misemasu"
"あいます (会います)","meet","aimasu"
"つかいます (使います)","use","tsukaimasu"
"もちます (持ちます)","hold, have, carry","mochimasu"
"とります (取ります/撮ります)","take, get / take photo","torimasu"
"おきます (置きます)","put, place","okimasu"
"いれます (入れます)","put in, insert","iremasu"
"だします (出します)","take out, submit, send","dashimasu"
"あけます (開けます)","open (transitive)","akemasu"
"あきます (開きます)","open (intransitive)","akimasu"
"しめます (閉めます)","close (transitive)","shimemasu"
"しまります (閉まります)","close (intransitive)","shimarimasu"
"つけます","turn on (light, TV)","tsukemasu"
"けします (消します)","turn off, erase","keshimasu"
"あげます","give (to others)","agemasu"
"もらいます","receive","moraimasu"
"くれます","give (to me/my group)","kuremasu"
"かします (貸します)","lend","kashimasu"
"かります (借ります)","borrow","karimasu"
"かえします (返します)","return (an object)","kaeshimasu"
"わたします (渡します)","hand over, pass","watashimasu"
"かいます (買います)","buy","kaimasu"
"うります (売ります)","sell","urimasu"
"まちます (待ちます)","wait","machimasu"
"いそぎます (急ぎます)","hurry","isogimasu"
"きます (着ます)","wear (upper body)","kimasu"
"はきます","wear (lower body/feet)","hakimasu"
"かぶります","wear (on head)","kaburimasu"
"かけます","wear (glasses)","kakemasu"
"します","wear (accessories) / do","shimasu"
"ぬぎます (脱ぎます)","take off (clothes)","nugimasu"
"あそびます (遊びます)","play, hang out, visit","asobimasu"
"およぎます (泳ぎます)","swim","oyogimasu"
"うたいます (歌います)","sing","utaimasu"
"ひきます (弾きます)","play (string/keyboard)","hikimasu"
"さんぽします (散歩します)","take a walk","sanposhimasu"
"りょこうします (旅行します)","travel","ryokoushimasu"
"れんしゅうします (練習します)","practice","renshuushimasu"
"すみます (住みます)","live, reside","sumimasu"
"すわります (座ります)","sit down","suwarimasu"
"たちます (立ちます)","stand up","tachimasu"
"つかれます (疲れます)","get tired","tsukaremasu"
"しにます (死にます)","die","shinimasu"
"こまります (困ります)","be troubled","komarimasu"
"ちがいます (違います)","be different, wrong","chigaimasu"
"まちがえます (間違えます)","make a mistake","machigaemasu"
"できます","can do, be able to, be completed","dekimasu"
"すいます (吸います)","smoke, inhale","suimasu"
"やくそくします (約束します)","promise","yakusokushimasu"
"ならびます (並びます)","line up (intr.)","narabimasu"
"ならべます (並べます)","line up (trans.)","narabemasu"
"ふります (降ります)","fall (rain, snow)","furimasu"
"コピーします","make a copy","kopiishimasu"
