front,back,romaji
"たべもの (食べ物)","food","tabemono"
"のみもの (飲み物)","drink, beverage","nomimono"
"ごはん (ご飯)","cooked rice / meal","gohan"
"あさごはん (朝ご飯)","breakfast","asagohan"
"ひるごはん (昼ご飯)","lunch","hirugohan"
"ばんごはん (晩ご飯)","dinner","bangohan"
"おべんとう (お弁当)","lunch box","obentou"
"りょうり (料理)","cooking, cuisine","ryouri"
"みず (水)","water","mizu"
"おゆ (お湯)","hot water","oyu"
"おちゃ (お茶)","tea (green)","ocha"
"こうちゃ (紅茶)","black tea","koucha"
"コーヒー","coffee","koohii"
"ぎゅうにゅう / ミルク (牛乳)","milk","gyuunyuu / miruku"
"ジュース","juice","juusu"
"ビール","beer","biiru"
"ワイン","wine","wain"
"おさけ (お酒)","alcohol, sake","osake"
"パン","bread","pan"
"めん (麺)","noodles","men"
"にく (肉)","meat","niku"
"とりにく (鶏肉)","chicken meat","toriniku"
"ぶたにく (豚肉)","pork","butaniku"
"ぎゅうにく (牛肉)","beef","gyuuniku"
"さかな (魚)","fish","sakana"
"たまご (卵)","egg","tamago"
"とうふ (豆腐)","tofu","tofu"
"やさい (野菜)","vegetable","yasai"
"くだもの (果物)","fruit","kudamono"
"りんご","apple","ringo"
"みかん","mandarin orange","mikan"
"バナナ","banana","banana"
"おかし (お菓子)","sweets, snacks","okashi"
"ケーキ","cake","keeki"
"チョコレート","chocolate","chokoreeto"
"アイスクリーム","ice cream","aisukuriimu"
"クリーム","cream","kuriimu"
"さとう (砂糖)","sugar","satou"
"しお (塩)","salt","shio"
"こしょう (胡椒)","pepper (spice)","koshou"
"しょうゆ (醤油)","soy sauce","shouyu"
"みそ (味噌)","miso","miso"
"はし (箸)","chopsticks","hashi"
"ちゃわん (茶碗)","rice bowl","chawan"
"おさら (お皿)","plate, dish","osara"
"コップ","glass, cup (glass)","koppu"
"カップ","cup (mug-like)","kappu"
"スプーン","spoon","supuun"
"フォーク","fork","fooku"
"ナイフ","knife","naifu"
