front,back,romaji
"しゅみ (趣味)","hobby","shumi"
"え (絵)","drawing, picture","e"
"おんがく (音楽)","music","ongaku"
"うた (歌)","song","uta"
"うたいます (歌います)","sing","utaimasu"
"ギター","guitar","gitaa"
"ピアノ","piano","piano"
"ひきます (弾きます)","play (string/keyboard)","hikimasu"
"えいが (映画)","movie, film","eiga"
"テレビ","television, TV","terebi"
"ラジオ","radio","rajio"
"しんぶん (新聞)","newspaper","shinbun"
"ざっし (雑誌)","magazine","zasshi"
"ほん (本)","book","hon"
"ニュース","news","nyuusu"
"カメラ","camera","kamera"
"しゃしん (写真)","photograph","shashin"
"とります (撮ります)","take (a photo)","torimasu"
"フィルム","film (camera)","firumu"
"レコード","record (vinyl)","rekoodo"
"テープ","tape (cassette)","teepu"
"テープレコーダー","tape recorder","teepurekooda"
"スポーツ","sports","supootsu"
"します","play (sports)","shimasu"
"サッカー","soccer, football","sakkaa"
"テニス","tennis","tenisu"
"やきゅう (野球)","baseball","yakyuu"
"およぎます (泳ぎます)","swim","oyogimasu"
"プール","swimming pool","puuru"
"さんぽします (散歩します)","take a walk","sanposhimasu"
"やまのぼり (山登り)","mountain climbing","yamanobori"
"りょこう (旅行)","travel, trip (noun)","ryokou"
"りょこうします (旅行します)","travel (verb)","ryokoushimasu"
"あそびます (遊びます)","play, have fun","asobimasu"
"パーティー","party","paatii"
