front,back,romaji
"いえ / うち (家)","house, home","ie / uchi"
"アパート","apartment (older/smaller)","apaato"
"マンション","condo, apartment (newer/larger)","manshon"
"へや (部屋)","room","heya"
"げんかん (玄関)","entranceway","genkan"
"だいどころ (台所)","kitchen","daidokoro"
"しょくどう (食堂)","dining room, cafeteria","shokudou"
"いま (居間)","living room","ima"
"しんしつ (寝室)","bedroom","shinshitsu"
"おふろ / ふろば (お風呂/風呂場)","bath / bathroom","ofuro / furoba"
"おてあらい / トイレ (お手洗い)","toilet, restroom","otearai / toire"
"にわ (庭)","garden, yard","niwa"
"かいだん (階段)","stairs","kaidan"
"まど (窓)","window","mado"
"ドア","door","doa"
"つくえ (机)","desk","tsukue"
"いす (椅子)","chair","isu"
"テーブル","table","teeburu"
"ベッド","bed","beddo"
"ふとん (布団)","Japanese bedding","futon"
"ほんだな (本棚)","bookshelf","hondana"
"たんす (箪笥)","chest of drawers","tansu"
"でんき (電気)","electricity, light","denki"
"エアコン","air conditioner","eakon"
"ストーブ / ヒーター","heater, stove","sutoobu / hiitaa"
"れいぞうこ (冷蔵庫)","refrigerator","reizouko"
"せんたくき (洗濯機)","washing machine","sentakuki"
"そうじき (掃除機)","vacuum cleaner","soujiki"
"テレビ","television, TV","terebi"
"ラジオ","radio","rajio"
"パソコン","personal computer","pasokon"
"でんわ (電話)","telephone","denwa"
"せっけん (石鹸)","soap","sekken"
"シャンプー","shampoo","shampuu"
"はブラシ (歯ブラシ)","toothbrush","haburashi"
"タオル","towel","taoru"
"ティッシュペーパー","tissue paper","tisshupeepaa"
"トイレットペーパー","toilet paper","toirettopepaa"
