front,back,romaji
"うえ (上)","up, above, on top","ue"
"した (下)","down, below, under","shita"
"まえ (前)","front, before","mae"
"うしろ (後ろ)","behind, back","ushiro"
"みぎ (右)","right (side)","migi"
"ひだり (左)","left (side)","hidari"
"なか (中)","inside, middle","naka"
"そと (外)","outside","soto"
"となり (隣)","next to, beside (similar items)","tonari"
"よこ (横)","side, beside (general)","yoko"
"ちかく (近く)","near, vicinity (noun)","chikaku"
"そば","nearby, beside","soba"
"あいだ (間)","between, interval","aida"
"ここ","here, this place","koko"
"そこ","there, that place","soko"
"あそこ","over there","asoko"
"どこ","where","doko"
"こちら","this way, here (polite)","kochira"
"そちら","that way, there (polite)","sochira"
"あちら","that way, over there (polite)","achira"
"どちら","which way, where (polite)","dochira"
"むこう (向こう)","over there, beyond","mukou"
"まっすぐ","straight ahead","massugu"
"かど (角)","corner (street)","kado"
"いりぐち (入口)","entrance","iriguchi"
"でぐち (出口)","exit","deguchi"
"にし (西)","west","nishi"
"ひがし (東)","east","higashi"
"みなみ (南)","south","minami"
"きた (北)","north","kita"
"ちゅう (中)","in, middle of, during (suffix)","chuu"
"うら (裏)","back side, reverse side","ura"
"ところ (所)","place","tokoro"
