front,back,romaji
"やま (山)","mountain","yama"
"かわ (川)","river","kawa"
"うみ (海)","sea, ocean","umi"
"そら (空)","sky","sora"
"たいよう / ひ (太陽/日)","sun","taiyou / hi"
"つき (月)","moon","tsuki"
"ほし (星)","star","hoshi"
"き (木)","tree, wood","ki"
"はな (花)","flower","hana"
"いけ (池)","pond","ike"
"いし (石)","stone, rock","ishi"
"どうぶつ (動物)","animal","doubutsu"
"いぬ (犬)","dog","inu"
"ねこ (猫)","cat","neko"
"とり (鳥)","bird","tori"
"さかな (魚)","fish","sakana"
"むし (虫)","insect","mushi"
"てんき (天気)","weather","tenki"
"はれ (晴れ)","clear weather, sunny","hare"
"くもり (曇り)","cloudy weather","kumori"
"あめ (雨)","rain","ame"
"ゆき (雪)","snow","yuki"
"かぜ (風)","wind","kaze"
"くも (雲)","cloud","kumo"
"たいふう (台風)","typhoon","taifuu"
"ふります (降ります)","fall (rain, snow)","furimasu"
"あたたかい (暖かい)","warm (weather)","atatakai"
"すずしい (涼しい)","cool (weather)","suzushii"
"あつい (暑い)","hot (weather)","atsui"
"さむい (寒い)","cold (weather)","samui"
"きせつ (季節)","season","kisetsu"
"はる (春)","spring","haru"
"なつ (夏)","summer","natsu"
"あき (秋)","autumn, fall","aki"
"ふゆ (冬)","winter","fuyu"
