front,back,romaji
"ゼロ / れい (零)","zero","zero / rei"
"いち (一)","one","ichi"
"に (二)","two","ni"
"さん (三)","three","san"
"よん / し (四)","four","yon / shi"
"ご (五)","five","go"
"ろく (六)","six","roku"
"なな / しち (七)","seven","nana / shichi"
"はち (八)","eight","hachi"
"きゅう / く (九)","nine","kyuu / ku"
"じゅう (十)","ten","juu"
"ひゃく (百)","hundred","hyaku"
"せん (千)","thousand","sen"
"まん (万)","ten thousand","man"
"ひとつ (一つ)","one (general counter)","hitotsu"
"ふたつ (二つ)","two (general counter)","futatsu"
"みっつ (三つ)","three (general counter)","mittsu"
"よっつ (四つ)","four (general counter)","yottsu"
"いつつ (五つ)","five (general counter)","itsutsu"
"むっつ (六つ)","six (general counter)","muttsu"
"ななつ (七つ)","seven (general counter)","nanatsu"
"やっつ (八つ)","eight (general counter)","yattsu"
"ここのつ (九つ)","nine (general counter)","kokonotsu"
"とお (十)","ten (general counter)","too"
"～にん (～人)","counter for people","-nin"
"ひとり (一人)","one person","hitori"
"ふたり (二人)","two people","futari"
"～さい (～歳)","years old","-sai"
"はたち (二十歳)","twenty years old","hatachi"
"～まい (～枚)","counter for flat objects","-mai"
"～ほん/ぽん/ぼん (～本)","counter for long objects","-hon/-pon/-bon"
"～こ (～個)","counter for small objects","-ko"
"～さつ (～冊)","counter for bound objects","-satsu"
"～かい (～階)","counter for floors","-kai"
"～かい (～回)","counter for times/frequency","-kai"
"～ど (～度)","counter for times/degrees","-do"
"～だい (～台)","counter for machines/vehicles","-dai"
"～はい/ぱい/ばい (～杯)","counter for cups/glasses","-hai/-pai/-bai"
"～ひき/ぴき/びき (～匹)","counter for small animals","-hiki/-piki/-biki"
"えん (円)","yen","en"
"まんえん (万円)","ten thousand yen","man'en"
"メートル","meter","meetoru"
"キロメートル","kilometer","kiromeetoru"
"キロ","kilogram / kilometer","kiro"
"グラム","gram","guramu"
"たくさん","many, a lot","takusan"
"おおい (多い)","many, numerous (adj)","ooi"
"すこし (少し)","a little, a few","sukoshi"
"ちょっと","a little (colloquial)","chotto"
"はんぶん (半分)","half (portion)","hanbun"
"ぐらい / くらい","about, approximately","gurai / kurai"
"ばんごう (番号)","number (ID, phone)","bangou"
"でんわばんごう (電話番号)","telephone number","denwabangou"
