front,back,romaji
"いっしょに (一緒に)","together","isshoni"
"ゆっくり","slowly, leisurely","yukkuri"
"まっすぐ","straight ahead","massugu"
"たいへん (大変)","very / terrible, hard","taihen"
"すこし (少し)","a little, a few","sukoshi"
"ちょっと","a little (colloquial)","chotto"
"もっと","more","motto"
"いちばん (一番)","the most, number one","ichiban"
"よく","well / often","yoku"
"たぶん (多分)","probably, perhaps","tabun"
"ほんとうに (本当に)","really, truly","hontou ni"
"だんだん","gradually","dandan"
"そして","and (connects sentences)","soshite"
"それから","and then, after that","sorekara"
"でも","but, however","demo"
"ですから / だから","therefore, so","desukara / dakara"
"じゃあ / それでは","well then, in that case","jaa / sore dewa"
"ほか (の) (他の)","other, besides","hoka (no)"
"つぎ (の) (次の)","next","tsugi (no)"
"はじめ (に) (始めに)","beginning / at the beginning","hajime (ni)"
"おわり (終わり)","the end","owari"
"くみ (組)","group, team, set, class","kumi"
"どうして","why?","doushite"
"なぜ (何故)","why? (formal)","naze"
"どうやって","how?","douyatte"
"ほんとう (本当)","truth, reality (noun)","hontou"
"なんか","something like... (colloquial)","nanka"
