front,back,romaji
"ひと (人)","person","hito"
"かた (方)","person (polite)","kata"
"ともだち (友達)","friend","tomodachi"
"かぞく (家族)","family","kazoku"
"りょうしん (両親)","parents","ryoushin"
"きょうだい (兄弟)","siblings","kyoudai"
"こども (子供)","child, children","kodomo"
"おとな (大人)","adult","otona"
"おとこ (男)","male, man","otoko"
"おとこのこ (男の子)","boy","otokonoko"
"おんな (女)","female, woman","onna"
"おんなのこ (女の子)","girl","onnanoko"
"ちち (父)","my father","chichi"
"はは (母)","my mother","haha"
"あに (兄)","my older brother","ani"
"あね (姉)","my older sister","ane"
"おとうと (弟)","my younger brother","otouto"
"いもうと (妹)","my younger sister","imouto"
"しゅじん (主人)","my husband","shujin"
"つま (妻)","my wife","tsuma"
"おとうさん (お父さん)","father (other's/polite)","otousan"
"おかあさん (お母さん)","mother (other's/polite)","okaasan"
"おにいさん (お兄さん)","older brother (other's/polite)","oniisan"
"おねえさん (お姉さん)","older sister (other's/polite)","oneesan"
"おとうとさん (弟さん)","younger brother (other's/polite)","otoutosan"
"いもうとさん (妹さん)","younger sister (other's/polite)","imoutosan"
"ごしゅじん (ご主人)","husband (other's/polite)","goshujin"
"おくさん (奥さん)","wife (other's/polite)","okusan"
"おじさん","uncle, middle-aged man","ojisan"
"おばさん","aunt, middle-aged woman","obasan"
"おじいさん","grandfather, elderly man","ojiisan"
"おばあさん","grandmother, elderly woman","obaasan"
"せんせい (先生)","teacher, master, doctor","sensei"
"がくせい (学生)","student","gakusei"
"りゅうがくせい (留学生)","international student","ryuugakusei"
"かいしゃいん (会社員)","company employee","kaishain"
"いしゃ (医者)","doctor (medical)","isha"
"かんごし (看護師)","nurse","kangoshi"
"がいこくじん (外国人)","foreigner","gaikokujin"
"～じん (～人)","person nationality suffix","-jin"
"にほんじん (日本人)","Japanese person","nihonjin"
"～さん","Mr., Mrs., Miss, Ms.","-san"
"～ちゃん","suffix for children, close friends","-chan"
"～くん (～君)","suffix for boys, juniors","-kun"
"～さま (～様)","Mr., Mrs. (very polite)","-sama"
"～たち (～達)","plural suffix for people","-tachi"
"なまえ (名前)","name","namae"
