front,back,romaji
"まち (町/街)","town, city","machi"
"むら (村)","village","mura"
"くに (国)","country, nation","kuni"
"がいこく (外国)","foreign country","gaikoku"
"にほん (日本)","Japan","nihon"
"かいしゃ (会社)","company, office","kaisha"
"がっこう (学校)","school","gakkou"
"だいがく (大学)","university","daigaku"
"びょういん (病院)","hospital","byouin"
"ぎんこう (銀行)","bank","ginkou"
"ゆうびんきょく (郵便局)","post office","yuubinkyoku"
"としょかん (図書館)","library","toshokan"
"びじゅつかん (美術館)","art museum","bijutsukan"
"えき (駅)","station","eki"
"くうこう (空港)","airport","kuukou"
"ホテル","hotel","hoteru"
"みせ (店)","store, shop","mise"
"レストラン","restaurant","resutoran"
"きっさてん (喫茶店)","coffee shop, cafe","kissaten"
"スーパー","supermarket","suupaa"
"デパート","department store","depaato"
"コンビニ","convenience store","konbini"
"えいがかん (映画館)","movie theater","eigakan"
"こうえん (公園)","park","kouen"
"プール","swimming pool","puuru"
"たいしかん (大使館)","embassy","taishikan"
"けいさつしょ / こうばん (警察署/交番)","police station / police box","keisatsusho / kouban"
"たてもの (建物)","building","tatemono"
"みち (道)","road, street","michi"
"はし (橋)","bridge","hashi"
"いけ (池)","pond","ike"
"エレベーター","elevator","erebeetaa"
"エスカレーター","escalator","esukareetaa"
