front,back,romaji
"なに / なん",what,"nani / nan"
だれ,who,dare
どなた,"who (polite)",donata
いつ,when,itsu
どこ,where,doko
どれ,"which one (of 3+)",dore
どちら,"which one (of 2), which way (polite)",dochira
どっち,"which one (of 2, informal)",dotchi
どの,"which (+ noun)",dono
どう,how,dou
"どうして / なぜ",why,"doushite / naze"
いくら,"how much (cost)",ikura
いくつ,"how many, how old",ikutsu
どんな,"what kind of",donna
どうやって,"how, by what means",douyatte
いかが,"how (polite)",ikaga
だれの,whose,"dare no"
これ,"this (one)",kore
それ,"that (one, near listener)",sore
あれ,"that (one, over there)",are
この,"this (+ noun)",kono
その,"that (+ noun, near listener)",sono
あの,"that (+ noun, over there) / um...",ano
ここ,"here, this place",koko
そこ,"there, that place",soko
あそこ,"over there",asoko
こちら,"this way (polite)",kochira
そちら,"that way (polite)",sochira
あちら,"that way (over there, polite)",achira
わたし,I,watashi
わたくし,"I (very formal)",watakushi
みんな,"everyone, all",minna
みなさん,"everyone (polite)",minasan
