front,back,romaji
"がっこう (学校)","school","gakkou"
"だいがく (大学)","university","daigaku"
"がくせい (学生)","student","gakusei"
"せんせい (先生)","teacher","sensei"
"クラス","class","kurasu"
"じゅぎょう (授業)","class, lesson","jugyou"
"べんきょうします (勉強します)","study","benkyoushimasu"
"ならいます (習います)","learn (from someone)","naraimasu"
"おしえます (教えます)","teach, inform","oshiemasu"
"おぼえます (覚えます)","memorize, remember","oboemasu"
"わかります (分かります)","understand","wakarimasu"
"しつもん (質問)","question (noun)","shitsumon"
"こたえ (答え)","answer (noun)","kotae"
"れい (例)","example","rei"
"きょうかしょ (教科書)","textbook","kyoukasho"
"じしょ (辞書)","dictionary","jisho"
"ノート","notebook","nooto"
"えんぴつ (鉛筆)","pencil","enpitsu"
"ペン","pen","pen"
"けしゴム (消しゴム)","eraser","keshigomu"
"つくえ (机)","desk","tsukue"
"いす (椅子)","chair","isu"
"しゅくだい (宿題)","homework","shukudai"
"しけん (試験)","exam, test","shiken"
"れんしゅう (練習)","practice (noun)","renshuu"
"れんしゅうします (練習します)","practice (verb)","renshuushimasu"
"さくぶん (作文)","composition, essay","sakubun"
"ページ","page","peeji"
