front,back,romaji
"～じ (～時)","o'clock","-ji"
"～ふん / ぷん (～分)","minute(s)","-fun / -pun"
"はん (半)","half (hour)","han"
"～じかん (～時間)","hour(s), time duration","-jikan"
"あさ (朝)","morning","asa"
"ひる (昼)","noon, daytime","hiru"
"ゆうがた (夕方)","evening","yuugata"
"ばん (晩)","evening, night","ban"
"よる (夜)","night","yoru"
"けさ (今朝)","this morning","kesa"
"こんばん (今晩)","this evening, tonight","konban"
"きょう (今日)","today","kyou"
"きのう (昨日)","yesterday","kinou"
"おととい","day before yesterday","ototoi"
"あした (明日)","tomorrow","ashita"
"あさって","day after tomorrow","asatte"
"こんしゅう (今週)","this week","konshuu"
"せんしゅう (先週)","last week","senshuu"
"らいしゅう (来週)","next week","raishuu"
"こんげつ (今月)","this month","kongetsu"
"せんげつ (先月)","last month","sengetsu"
"らいげつ (来月)","next month","raigetsu"
"ことし (今年)","this year","kotoshi"
"きょねん (去年)","last year","kyonen"
"らいねん (来年)","next year","rainen"
"ひ (日)","day, sun","hi"
"～にち (～日)","day (counter/name)","-nichi"
"しゅうかん (週間)","week(s) duration","shuukan"
"～かかん (～日間)","day(s) duration","-kakan"
"～かげつ / つき (～ヶ月/月)","month(s) duration","-kagetsu / -tsuki"
"～ねん (～年)","year","-nen"
"しゅうまつ (週末)","weekend","shuumatsu"
"やすみ (休み)","holiday, day off, absence","yasumi"
"げつようび (月曜日)","Monday","getsuyoubi"
"かようび (火曜日)","Tuesday","kayoubi"
"すいようび (水曜日)","Wednesday","suiyoubi"
"もくようび (木曜日)","Thursday","mokuyoubi"
"きんようび (金曜日)","Friday","kinyoubi"
"どようび (土曜日)","Saturday","doyoubi"
"にちようび (日曜日)","Sunday","nichiyoubi"
"なんようび (何曜日)","what day of the week?","nanyoubi"
"ついたち (一日)","1st day","tsuitachi"
"ふつか (二日)","2nd day / two days","futsuka"
"みっか (三日)","3rd day / three days","mikka"
"よっか (四日)","4th day / four days","yokka"
"いつか (五日)","5th day / five days","itsuka"
"むいか (六日)","6th day / six days","muika"
"なのか (七日)","7th day / seven days","nanoka"
"ようか (八日)","8th day / eight days","youka"
"ここのか (九日)","9th day / nine days","kokonoka"
"とおか (十日)","10th day / ten days","tooka"
"じゅうよっか (十四日)","14th day","juuyokka"
"はつか (二十日)","20th day","hatsuka"
"にじゅうよっか (二十四日)","24th day","nijuuyokka"
"なんにち (何日)","what day / how many days","nannichi"
"まいにち (毎日)","every day","mainichi"
"まいあさ (毎朝)","every morning","maiasa"
"まいばん (毎晩)","every night","maiban"
"まいしゅう (毎週)","every week","maishuu"
"まいつき / まいげつ (毎月)","every month","maitsuki / maigetsu"
"まいとし / まいねん (毎年)","every year","maitoshi / mainen"
"いつも","always","itsumo"
"よく","often","yoku"
"ときどき (時々)","sometimes","tokidoki"
"あまり","not much/often (+ neg)","amari"
"ぜんぜん (全然)","not at all (+ neg)","zenzen"
"たいてい","usually, generally","taitei"
"いま (今)","now","ima"
"すぐ","soon, right away","sugu"
"もうすぐ","soon","mousugu"
"あとで (後で)","later","atode"
"さっき","a little while ago","sakki"
"むかし (昔)","long ago","mukashi"
"とき (時)","time, when","toki"
"ごろ","around (time point)","goro"
"まえ (前)","before, front","mae"
"あと (後)","after, later","ato"
"これから","from now on","korekara"
"こんど (今度)","next time, this time","kondo"
"さいしょに (最初に)","firstly","saisho ni"
"つぎに (次に)","next, secondly","tsugi ni"
"さいごに (最後に)","finally","saigo ni"
"はやい (早い)","early","hayai"
"おそい (遅い)","late","osoi"
"まだ","still, not yet (+ neg)","mada"
"もう","already, anymore","mou"
