front,back,romaji
"くるま / じどうしゃ (車/自動車)","car, automobile","kuruma / jidousha"
"バス","bus","basu"
"タクシー","taxi","takushii"
"じてんしゃ (自転車)","bicycle","jitensha"
"でんしゃ (電車)","train (electric)","densha"
"ちかてつ (地下鉄)","subway","chikatetsu"
"しんかんせん (新幹線)","bullet train","shinkansen"
"ひこうき (飛行機)","airplane","hikouki"
"ふね (船)","boat, ship","fune"
"バイク","motorcycle","baiku"
"えき (駅)","station","eki"
"くうこう (空港)","airport","kuukou"
"バスてい (バス停)","bus stop","basutei"
"のりば (乗り場)","boarding place","noriba"
"きっぷ (切符)","ticket","kippu"
"のります (乗ります)","ride, get on","norimasu"
"おります (降ります)","get off","orimasu"
"のりかえます (乗り換えます)","change (transport)","norikaemasu"
"うんてんします (運転します)","drive","untenshimasu"
