char,romaji,strokeOrder,audio
あ,a,/assets/strokes/hiragana/あ.gif,/assets/audio/hiragana/あ.mp3
い,i,/assets/strokes/hiragana/い.gif,/assets/audio/hiragana/い.mp3
う,u,/assets/strokes/hiragana/う.gif,/assets/audio/hiragana/う.mp3
え,e,/assets/strokes/hiragana/え.gif,/assets/audio/hiragana/え.mp3
お,o,/assets/strokes/hiragana/お.gif,/assets/audio/hiragana/お.mp3
か,ka,/assets/strokes/hiragana/か.gif,/assets/audio/hiragana/か.mp3
き,ki,/assets/strokes/hiragana/き.gif,/assets/audio/hiragana/き.mp3
く,ku,/assets/strokes/hiragana/く.gif,/assets/audio/hiragana/く.mp3
け,ke,/assets/strokes/hiragana/け.gif,/assets/audio/hiragana/け.mp3
こ,ko,/assets/strokes/hiragana/こ.gif,/assets/audio/hiragana/こ.mp3
が,ga,/assets/strokes/hiragana/が.gif,/assets/audio/hiragana/が.mp3
ぎ,gi,/assets/strokes/hiragana/ぎ.gif,/assets/audio/hiragana/ぎ.mp3
ぐ,gu,/assets/strokes/hiragana/ぐ.gif,/assets/audio/hiragana/ぐ.mp3
げ,ge,/assets/strokes/hiragana/げ.gif,/assets/audio/hiragana/げ.mp3
ご,go,/assets/strokes/hiragana/ご.gif,/assets/audio/hiragana/ご.mp3
さ,sa,/assets/strokes/hiragana/さ.gif,/assets/audio/hiragana/さ.mp3
し,shi,/assets/strokes/hiragana/し.gif,/assets/audio/hiragana/し.mp3
す,su,/assets/strokes/hiragana/す.gif,/assets/audio/hiragana/す.mp3
せ,se,/assets/strokes/hiragana/せ.gif,/assets/audio/hiragana/せ.mp3
そ,so,/assets/strokes/hiragana/そ.gif,/assets/audio/hiragana/そ.mp3
ざ,za,/assets/strokes/hiragana/ざ.gif,/assets/audio/hiragana/ざ.mp3
じ,ji,/assets/strokes/hiragana/じ.gif,/assets/audio/hiragana/じ.mp3
ず,zu,/assets/strokes/hiragana/ず.gif,/assets/audio/hiragana/ず.mp3
ぜ,ze,/assets/strokes/hiragana/ぜ.gif,/assets/audio/hiragana/ぜ.mp3
ぞ,zo,/assets/strokes/hiragana/ぞ.gif,/assets/audio/hiragana/ぞ.mp3
た,ta,/assets/strokes/hiragana/た.gif,/assets/audio/hiragana/た.mp3
ち,chi,/assets/strokes/hiragana/ち.gif,/assets/audio/hiragana/ち.mp3
つ,tsu,/assets/strokes/hiragana/つ.gif,/assets/audio/hiragana/つ.mp3
て,te,/assets/strokes/hiragana/て.gif,/assets/audio/hiragana/て.mp3
と,to,/assets/strokes/hiragana/と.gif,/assets/audio/hiragana/と.mp3
だ,da,/assets/strokes/hiragana/だ.gif,/assets/audio/hiragana/だ.mp3
ぢ,ji,/assets/strokes/hiragana/ぢ.gif,/assets/audio/hiragana/ぢ.mp3
づ,zu,/assets/strokes/hiragana/づ.gif,/assets/audio/hiragana/づ.mp3
で,de,/assets/strokes/hiragana/で.gif,/assets/audio/hiragana/で.mp3
ど,do,/assets/strokes/hiragana/ど.gif,/assets/audio/hiragana/ど.mp3
な,na,/assets/strokes/hiragana/な.gif,/assets/audio/hiragana/な.mp3
に,ni,/assets/strokes/hiragana/に.gif,/assets/audio/hiragana/に.mp3
ぬ,nu,/assets/strokes/hiragana/ぬ.gif,/assets/audio/hiragana/ぬ.mp3
ね,ne,/assets/strokes/hiragana/ね.gif,/assets/audio/hiragana/ね.mp3
の,no,/assets/strokes/hiragana/の.gif,/assets/audio/hiragana/の.mp3
は,ha,/assets/strokes/hiragana/は.gif,/assets/audio/hiragana/は.mp3
ひ,hi,/assets/strokes/hiragana/ひ.gif,/assets/audio/hiragana/ひ.mp3
ふ,fu,/assets/strokes/hiragana/ふ.gif,/assets/audio/hiragana/ふ.mp3
へ,he,/assets/strokes/hiragana/へ.gif,/assets/audio/hiragana/へ.mp3
ほ,ho,/assets/strokes/hiragana/ほ.gif,/assets/audio/hiragana/ほ.mp3
ば,ba,/assets/strokes/hiragana/ば.gif,/assets/audio/hiragana/ば.mp3
び,bi,/assets/strokes/hiragana/び.gif,/assets/audio/hiragana/び.mp3
ぶ,bu,/assets/strokes/hiragana/ぶ.gif,/assets/audio/hiragana/ぶ.mp3
べ,be,/assets/strokes/hiragana/べ.gif,/assets/audio/hiragana/べ.mp3
ぼ,bo,/assets/strokes/hiragana/ぼ.gif,/assets/audio/hiragana/ぼ.mp3
ぱ,pa,/assets/strokes/hiragana/ぱ.gif,/assets/audio/hiragana/ぱ.mp3
ぴ,pi,/assets/strokes/hiragana/ぴ.gif,/assets/audio/hiragana/ぴ.mp3
ぷ,pu,/assets/strokes/hiragana/ぷ.gif,/assets/audio/hiragana/ぷ.mp3
ぺ,pe,/assets/strokes/hiragana/ぺ.gif,/assets/audio/hiragana/ぺ.mp3
ぽ,po,/assets/strokes/hiragana/ぽ.gif,/assets/audio/hiragana/ぽ.mp3
ま,ma,/assets/strokes/hiragana/ま.gif,/assets/audio/hiragana/ま.mp3
み,mi,/assets/strokes/hiragana/み.gif,/assets/audio/hiragana/み.mp3
む,mu,/assets/strokes/hiragana/む.gif,/assets/audio/hiragana/む.mp3
め,me,/assets/strokes/hiragana/め.gif,/assets/audio/hiragana/め.mp3
も,mo,/assets/strokes/hiragana/も.gif,/assets/audio/hiragana/も.mp3
や,ya,/assets/strokes/hiragana/や.gif,/assets/audio/hiragana/や.mp3
ゆ,yu,/assets/strokes/hiragana/ゆ.gif,/assets/audio/hiragana/ゆ.mp3
よ,yo,/assets/strokes/hiragana/よ.gif,/assets/audio/hiragana/よ.mp3
ら,ra,/assets/strokes/hiragana/ら.gif,/assets/audio/hiragana/ら.mp3
り,ri,/assets/strokes/hiragana/り.gif,/assets/audio/hiragana/り.mp3
る,ru,/assets/strokes/hiragana/る.gif,/assets/audio/hiragana/る.mp3
れ,re,/assets/strokes/hiragana/れ.gif,/assets/audio/hiragana/れ.mp3
ろ,ro,/assets/strokes/hiragana/ろ.gif,/assets/audio/hiragana/ろ.mp3
わ,wa,/assets/strokes/hiragana/わ.gif,/assets/audio/hiragana/わ.mp3
を,wo,/assets/strokes/hiragana/を.gif,/assets/audio/hiragana/を.mp3
ん,n,/assets/strokes/hiragana/ん.gif,/assets/audio/hiragana/ん.mp3
