char,meaning,onyomi,kunyomi,example,strokeOrder,audio
一,one,イチ,"ひと-","一月 (いちがつ) - January",/assets/strokes/kanji/一.gif,/assets/audio/kanji/one.mp3
二,two,ニ,"ふた-","二月 (にがつ) - February",/assets/strokes/kanji/二.gif,/assets/audio/kanji/two.mp3
三,three,サン,"みっ-","三月 (さんがつ) - March",/assets/strokes/kanji/三.gif,/assets/audio/kanji/three.mp3
四,four,シ,"よん,よ,よっ-","四月 (しがつ) - April",/assets/strokes/kanji/四.gif,/assets/audio/kanji/four.mp3
五,five,ゴ,"いつ-","五月 (ごがつ) - May",/assets/strokes/kanji/五.gif,/assets/audio/kanji/five.mp3
六,six,ロク,"むっ-","六月 (ろくがつ) - June",/assets/strokes/kanji/六.gif,/assets/audio/kanji/six.mp3
七,seven,シチ,"なな-","七月 (しちがつ) - July",/assets/strokes/kanji/七.gif,/assets/audio/kanji/seven.mp3
八,eight,ハチ,"やっ-","八月 (はちがつ) - August",/assets/strokes/kanji/八.gif,/assets/audio/kanji/eight.mp3
九,nine,"キュウ,ク","ここの-","九月 (くがつ) - September",/assets/strokes/kanji/九.gif,/assets/audio/kanji/nine.mp3
十,ten,ジュウ,とお,"十月 (じゅうがつ) - October",/assets/strokes/kanji/十.gif,/assets/audio/kanji/ten.mp3
百,hundred,ヒャク,"","百円 (ひゃくえん) - 100 yen",/assets/strokes/kanji/百.gif,/assets/audio/kanji/hundred.mp3
千,thousand,セン,ち,"千円 (せんえん) - 1000 yen",/assets/strokes/kanji/千.gif,/assets/audio/kanji/thousand.mp3
万,"ten thousand",マン,"","一万円 (いちまんえん) - 10,000 yen",/assets/strokes/kanji/万.gif,/assets/audio/kanji/man.mp3
日,"day, sun","ニチ,ジツ","ひ,-び,-か","日本 (にほん) - Japan",/assets/strokes/kanji/日.gif,/assets/audio/kanji/sun.mp3
月,"month, moon","ゲツ,ガツ",つき,"月曜日 (げつようび) - Monday",/assets/strokes/kanji/月.gif,/assets/audio/kanji/moon.mp3
火,fire,カ,ひ,"火曜日 (かようび) - Tuesday",/assets/strokes/kanji/火.gif,/assets/audio/kanji/fire.mp3
水,water,スイ,みず,"水曜日 (すいようび) - Wednesday",/assets/strokes/kanji/水.gif,/assets/audio/kanji/water.mp3
木,"tree, wood",モク,き,"木曜日 (もくようび) - Thursday",/assets/strokes/kanji/木.gif,/assets/audio/kanji/tree.mp3
金,"gold, money",キン,かね,"金曜日 (きんようび) - Friday",/assets/strokes/kanji/金.gif,/assets/audio/kanji/gold.mp3
土,"earth, soil",ド,つち,"土曜日 (どようび) - Saturday",/assets/strokes/kanji/土.gif,/assets/audio/kanji/earth.mp3
年,year,ネン,とし,"今年 (ことし) - this year",/assets/strokes/kanji/年.gif,/assets/audio/kanji/year.mp3
時,"time, hour",ジ,とき,"時間 (じかん) - time, hour(s)",/assets/strokes/kanji/時.gif,/assets/audio/kanji/time.mp3
分,"minute, part, understand","フン,ブン","わ(かる)","五分 (ごふん) - 5 minutes",/assets/strokes/kanji/分.gif,/assets/audio/kanji/minute.mp3
間,"interval, space","カン,ケン",あいだ,"一時間 (いちじかん) - one hour",/assets/strokes/kanji/間.gif,/assets/audio/kanji/interval.mp3
半,half,ハン,"なか(ば)","半分 (はんぶん) - half",/assets/strokes/kanji/半.gif,/assets/audio/kanji/half.mp3
今,now,コン,いま,"今週 (こんしゅう) - this week",/assets/strokes/kanji/今.gif,/assets/audio/kanji/now.mp3
先,"before, ahead, previous",セン,さき,"先生 (せんせい) - teacher",/assets/strokes/kanji/先.gif,/assets/audio/kanji/before.mp3
来,"come, next",ライ,"く(る)","来週 (らいしゅう) - next week",/assets/strokes/kanji/来.gif,/assets/audio/kanji/come.mp3
週,week,シュウ,"","毎週 (まいしゅう) - every week",/assets/strokes/kanji/週.gif,/assets/audio/kanji/week.mp3
毎,every,マイ,"","毎日 (まいにち) - every day",/assets/strokes/kanji/毎.gif,/assets/audio/kanji/every.mp3
午,noon,ゴ,"","午前 (ごぜん) - A.M.",/assets/strokes/kanji/午.gif,/assets/audio/kanji/noon.mp3
後,"after, behind",ゴ,"あと,うし(ろ)","午後 (ごご) - P.M.",/assets/strokes/kanji/後.gif,/assets/audio/kanji/after.mp3
前,"before, front",ゼン,まえ,"名前 (なまえ) - name",/assets/strokes/kanji/前.gif,/assets/audio/kanji/front.mp3
人,person,"ジン,ニン",ひと,"日本人 (にほんじん) - Japanese person",/assets/strokes/kanji/人.gif,/assets/audio/kanji/person.mp3
男,"man, male","ダン,ナン",おとこ,"男の人 (おとこのひと) - man",/assets/strokes/kanji/男.gif,/assets/audio/kanji/man_person.mp3
女,"woman, female",ジョ,おんな,"女の人 (おんなのひと) - woman",/assets/strokes/kanji/女.gif,/assets/audio/kanji/woman.mp3
子,child,シ,こ,"子供 (こども) - child",/assets/strokes/kanji/子.gif,/assets/audio/kanji/child.mp3
母,mother,ボ,はは,"お母さん (おかあさん) - mother",/assets/strokes/kanji/母.gif,/assets/audio/kanji/mother.mp3
父,father,フ,ちち,"お父さん (おとうさん) - father",/assets/strokes/kanji/父.gif,/assets/audio/kanji/father.mp3
友,friend,ユウ,とも,"友達 (ともだち) - friend",/assets/strokes/kanji/友.gif,/assets/audio/kanji/friend.mp3
口,mouth,コウ,くち,"入口 (いりぐち) - entrance",/assets/strokes/kanji/口.gif,/assets/audio/kanji/mouth.mp3
目,eye,モク,め,"目薬 (めぐすり) - eye drops",/assets/strokes/kanji/目.gif,/assets/audio/kanji/eye.mp3
耳,ear,ジ,みみ,"耳鼻科 (じびか) - ENT clinic",/assets/strokes/kanji/耳.gif,/assets/audio/kanji/ear.mp3
手,hand,シュ,て,"上手 (じょうず) - skillful",/assets/strokes/kanji/手.gif,/assets/audio/kanji/hand.mp3
足,"leg, foot, suffice",ソク,"あし,た(りる)","一足 (いっそく) - one pair (footwear)",/assets/strokes/kanji/足.gif,/assets/audio/kanji/foot.mp3
力,"power, strength","リョク,リキ",ちから,"力持ち (ちからもち) - strong person",/assets/strokes/kanji/力.gif,/assets/audio/kanji/power.mp3
上,"up, above",ジョウ,"うえ,あ(がる)","机の上 (つくえのうえ) - on top of the desk",/assets/strokes/kanji/上.gif,/assets/audio/kanji/up.mp3
下,"down, below","カ,ゲ","した,さ(がる)","地下鉄 (ちかてつ) - subway",/assets/strokes/kanji/下.gif,/assets/audio/kanji/down.mp3
左,left,サ,ひだり,"左手 (ひだりて) - left hand",/assets/strokes/kanji/左.gif,/assets/audio/kanji/left.mp3
右,right,"ウ,ユウ",みぎ,"右手 (みぎて) - right hand",/assets/strokes/kanji/右.gif,/assets/audio/kanji/right.mp3
中,"inside, middle, center",チュウ,なか,"中国 (ちゅうごく) - China",/assets/strokes/kanji/中.gif,/assets/audio/kanji/middle.mp3
外,outside,ガイ,そと,"外国 (がいこく) - foreign country",/assets/strokes/kanji/外.gif,/assets/audio/kanji/outside.mp3
東,east,トウ,ひがし,"東京 (とうきょう) - Tokyo",/assets/strokes/kanji/東.gif,/assets/audio/kanji/east.mp3
西,west,"セイ,サイ",にし,"西口 (にしぐち) - west entrance",/assets/strokes/kanji/西.gif,/assets/audio/kanji/west.mp3
南,south,ナン,みなみ,"南口 (みなみぐち) - south entrance",/assets/strokes/kanji/南.gif,/assets/audio/kanji/south.mp3
北,north,ホク,きた,"北口 (きたぐち) - north entrance",/assets/strokes/kanji/北.gif,/assets/audio/kanji/north.mp3
名,"name, famous",メイ,な,"有名 (ゆうめい) - famous",/assets/strokes/kanji/名.gif,/assets/audio/kanji/name.mp3
国,country,コク,くに,"韓国 (かんこく) - Korea",/assets/strokes/kanji/国.gif,/assets/audio/kanji/country.mp3
円,"yen, circle",エン,"まる(い)","百円 (ひゃくえん) - 100 yen",/assets/strokes/kanji/円.gif,/assets/audio/kanji/yen.mp3
天,"heaven, sky",テン,あま,"天気 (てんき) - weather",/assets/strokes/kanji/天.gif,/assets/audio/kanji/heaven.mp3
気,"spirit, mind, air",キ,"","元気 (げんき) - healthy, lively",/assets/strokes/kanji/気.gif,/assets/audio/kanji/spirit.mp3
雨,rain,ウ,あめ,"大雨 (おおあめ) - heavy rain",/assets/strokes/kanji/雨.gif,/assets/audio/kanji/rain.mp3
空,"sky, empty",クウ,"そら,あ(く)","空気 (くうき) - air",/assets/strokes/kanji/空.gif,/assets/audio/kanji/sky.mp3
山,mountain,サン,やま,"富士山 (ふじさん) - Mt. Fuji",/assets/strokes/kanji/山.gif,/assets/audio/kanji/mountain.mp3
川,river,セン,かわ,"小川 (おがわ) - stream",/assets/strokes/kanji/川.gif,/assets/audio/kanji/river.mp3
田,"rice field",デン,た,"山田 (やまだ) - Yamada (name)",/assets/strokes/kanji/田.gif,/assets/audio/kanji/ricefield.mp3
石,stone,セキ,いし,"石鹸 (せっけん) - soap",/assets/strokes/kanji/石.gif,/assets/audio/kanji/stone.mp3
花,flower,カ,はな,"花火 (はなび) - fireworks",/assets/strokes/kanji/花.gif,/assets/audio/kanji/flower.mp3
