char,romaji,strokeOrder,audio
ア,a,/assets/strokes/katakana/ア.gif,/assets/audio/katakana/あ.mp3
イ,i,/assets/strokes/katakana/イ.gif,/assets/audio/katakana/い.mp3
ウ,u,/assets/strokes/katakana/ウ.gif,/assets/audio/katakana/う.mp3
エ,e,/assets/strokes/katakana/エ.gif,/assets/audio/katakana/え.mp3
オ,o,/assets/strokes/katakana/オ.gif,/assets/audio/katakana/お.mp3
カ,ka,/assets/strokes/katakana/カ.gif,/assets/audio/katakana/か.mp3
キ,ki,/assets/strokes/katakana/キ.gif,/assets/audio/katakana/き.mp3
ク,ku,/assets/strokes/katakana/ク.gif,/assets/audio/katakana/く.mp3
ケ,ke,/assets/strokes/katakana/ケ.gif,/assets/audio/katakana/け.mp3
コ,ko,/assets/strokes/katakana/コ.gif,/assets/audio/katakana/こ.mp3
ガ,ga,/assets/strokes/katakana/ガ.gif,/assets/audio/katakana/が.mp3
ギ,gi,/assets/strokes/katakana/ギ.gif,/assets/audio/katakana/ぎ.mp3
グ,gu,/assets/strokes/katakana/グ.gif,/assets/audio/katakana/ぐ.mp3
ゲ,ge,/assets/strokes/katakana/ゲ.gif,/assets/audio/katakana/げ.mp3
ゴ,go,/assets/strokes/katakana/ゴ.gif,/assets/audio/katakana/ご.mp3
サ,sa,/assets/strokes/katakana/サ.gif,/assets/audio/katakana/さ.mp3
シ,shi,/assets/strokes/katakana/シ.gif,/assets/audio/katakana/し.mp3
ス,su,/assets/strokes/katakana/ス.gif,/assets/audio/katakana/す.mp3
セ,se,/assets/strokes/katakana/セ.gif,/assets/audio/katakana/せ.mp3
ソ,so,/assets/strokes/katakana/ソ.gif,/assets/audio/katakana/そ.mp3
ザ,za,/assets/strokes/katakana/ザ.gif,/assets/audio/katakana/ざ.mp3
ジ,ji,/assets/strokes/katakana/ジ.gif,/assets/audio/katakana/じ.mp3
ズ,zu,/assets/strokes/katakana/ズ.gif,/assets/audio/katakana/ず.mp3
ゼ,ze,/assets/strokes/katakana/ゼ.gif,/assets/audio/katakana/ぜ.mp3
ゾ,zo,/assets/strokes/katakana/ゾ.gif,/assets/audio/katakana/ぞ.mp3
タ,ta,/assets/strokes/katakana/タ.gif,/assets/audio/katakana/た.mp3
チ,chi,/assets/strokes/katakana/チ.gif,/assets/audio/katakana/ち.mp3
ツ,tsu,/assets/strokes/katakana/ツ.gif,/assets/audio/katakana/つ.mp3
テ,te,/assets/strokes/katakana/テ.gif,/assets/audio/katakana/て.mp3
ト,to,/assets/strokes/katakana/ト.gif,/assets/audio/katakana/と.mp3
